collision_episode_rate,collision_free_success_rate,command_acc_rms_mean_mps2,command_active_fraction_mean,command_jerk_p95_mean_mps3,experiment,maze_type,min_clearance_mean_m,n,path_efficiency_mean,role,scenario,timeout_penalized_time_mean_s,turn_response_penalized_mean_s
0.0,0.6,3.307780780826744,0.9961777252662498,17.935619802361515,inner_topk3,1,0.5130099773406982,10,0.650664296508818,baseline,straight,11.710280000000001,0.7209519999999999
0.0,0.6,3.097122174337472,0.9996884735202493,15.216457088773916,inner_topk3,2,0.6589643135666847,10,0.6968786530904477,baseline,straight,11.29712,2.033823
0.0,0.2,3.2851692237154757,0.997590145882311,18.394432091626022,inner_topk3,5,0.4108888290822506,10,0.46450539883065184,baseline,straight,16.88469,2.763548
0.0,0.8,2.961221668774914,0.9681706869742955,15.610565253122465,inner_topk3,7,0.8722073793411255,10,0.6578750201102977,baseline,straight,10.86007,1.2840859999999998
0.0,0.55,3.1628234619136513,0.9904067579107764,16.78926855897098,inner_topk3,all,0.6137676248326898,40,0.6174808421350538,baseline,straight,12.688039999999999,1.70060225
0.0,0.5,3.6518182132538906,0.9898285714285715,17.42124264213885,inner_topk3,1,0.5403563857078553,10,0.3775856293509149,baseline,dynamic,12.936377038900165,5.105066403400317
0.0,0.8,3.4350156236243565,1.0,14.609186418714023,inner_topk3,2,1.2569536924362184,10,0.6507096307671668,baseline,dynamic,7.190313667999985,5.74073608610009
0.0,0.3,3.445109441163068,1.0,18.624899417548214,inner_topk3,5,0.6530790448188781,10,0.32248313188921585,baseline,dynamic,15.555549453499783,1.629651566799902
0.0,0.2,3.2215662820678554,0.8964571428571428,15.2867316321805,inner_topk3,7,0.7106600403785706,10,0.3705408248970421,baseline,dynamic,15.546494603099779,6.911441827399708
0.0,0.45,3.4383773900272927,0.9715714285714286,16.4855150276454,inner_topk3,all,0.7902622908353806,40,0.4303298042260849,baseline,dynamic,12.807183690874927,4.846723970925003
0.0,0.55,3.479799497040317,0.9930031483474107,17.67843122225018,inner_topk3,1,0.5266831815242767,20,0.5141249629298665,baseline,all,12.323328519450083,2.9130092017001585
0.0,0.7,3.2660688989809143,0.9998442367601246,14.912821753743973,inner_topk3,2,0.9579590030014515,20,0.6737941419288074,baseline,all,9.243716833999992,3.8872795430500444
0.0,0.25,3.365139332439272,0.9987950729411554,18.509665754587118,inner_topk3,5,0.5319839369505643,20,0.3934942653599338,baseline,all,16.220119726749893,2.196599783399951
