collision_events_mean,collision_free_success_mean,command_acc_rms_mps2_mean,command_active_fraction_mean,command_jerk_p95_mps3_mean,experiment,maze_type,min_clearance_m_mean,n,path_efficiency_mean,role,scenario,timeout_penalized_s_mean,turn_response_penalized_s_mean
0.0,1.0,3.0433376602412956,1.0,20.230719020892053,geometry,1,0.35763177201151847,10,0.8336303821238642,baseline,straight,8.331669999999999,0.298901
0.0,1.0,3.6514601275097904,1.0,21.440958722452063,geometry,2,0.6595318153500557,10,0.8710938192943299,baseline,straight,6.60262,1.763257
0.2,0.8,3.188749200480742,1.0,18.635836260348846,geometry,5,0.4403136298060417,10,0.9051170288297967,baseline,straight,6.618249999999999,0.484623
0.0,1.0,3.1472680333971317,1.0,19.41162804172506,geometry,7,0.726554787158966,10,0.7481635470273951,baseline,straight,9.609219999999999,1.116394
0.05,0.95,3.2577037554072406,1.0,19.929785511354503,geometry,all,0.5460080010816455,40,0.8395011943188464,baseline,straight,7.790440000000001,0.9157937500000001
0.0,1.0,3.6536441980590313,1.0,16.231056352043623,geometry,1,0.39667226895689967,10,0.5297274998644852,baseline,dynamic,8.73001,5.950122226599236
0.1,0.9,4.022569146111165,1.0,17.70915991819568,geometry,2,0.7244460180401802,10,0.5431929279672814,baseline,dynamic,7.332890000000001,5.9750593237983445
0.2,0.8,3.889868962744983,1.0,15.237861915958955,geometry,5,0.5287484765052796,10,0.4835445846291626,baseline,dynamic,7.728579999999999,7.313068842099719
0.0,1.0,3.6034087824526977,1.0,16.35828053311115,geometry,7,0.9038902550935746,10,0.5179102848218238,baseline,dynamic,8.6403,6.600865759899158
0.075,0.925,3.7923727723419693,1.0,16.38408967982735,geometry,all,0.6384392546489834,40,0.5185938243206882,baseline,dynamic,8.107944999999999,6.459779038099114
0.0,1.0,3.348490929150164,1.0,18.230887686467838,geometry,1,0.37715202048420904,20,0.6816789409941747,baseline,all,8.530840000000001,3.124511613299618
0.05,0.95,3.837014636810477,1.0,19.57505932032387,geometry,2,0.691988916695118,20,0.7071433736308055,baseline,all,6.967755000000001,3.869158161899172
